Tm,PBWR,RBWR,PFF-PB,PFF-RB,PBWRd,RBWRd,Temp,DupeCount,PBWRRank,RBWRRank,PFF-PBRank,PFF-RBRank,PBDiff,RBDiff
GNB,74,74,80.2,75.5,74.00,74.00,74-74,1,1,1,2,7,1,6
CLE,71,71,84.4,82.6,71.00,71.00,71-71,1,2,11,1,1,-1,-10
ARI,67,72,73.7,60.7,67.00,72.00,67-72,1,3,6,5,24,2,18
BUF,64,69,73.6,69.6,64.00,69.00,64-69,1,4,23,6,15,2,-8
NOR,63,72,70.0,74.3,63.00,72.00,63-72,1,5,6,13,8,8,2
KAN,63,67,70.3,71.0,63.00,67.00,63-67,1,5,30,12,12,7,-18
LAR,63,70,70.8,78.7,63.00,70.00,63-70,1,5,14,10,4,5,-10
BAL,62,73,70.8,69.8,62.00,73.00,62-73,1,8,2,10,14,2,12
SEA,62,70,64.4,72.3,62.00,70.00,62-70,1,8,14,20,9,12,-5
LVR,60,69,67.2,59.3,60.00,69.00,60-69,1,10,23,17,26,7,3
PHI,60,73,67.5,67.1,60.00,73.00,60-73,1,10,2,16,17,6,15
IND,60,72,72.2,79.2,60.00,72.00,60-72,1,10,6,7,3,-3,-3
NEW,59,72,67.7,76.2,59.00,72.00,59-72,1,13,6,15,6,2,0
WAS,59,73,77.7,71.5,59.00,73.00,59-73,1,13,2,3,10,-10,8
CHI,58,71,59.4,69.5,58.00,71.00,58-71,1,15,11,25,16,10,5
ATL,57,69,62.4,64.1,57.00,69.00,57-69,1,16,23,23,22,7,-1
TAM,57,70,68.1,71.3,57.00,70.00,57-70,1,16,14,14,11,-2,-3
MIN,56,70,55.7,65.7,56.00,70.00,56-70,1,18,14,29,18,11,4
HOU,56,73,72.1,59.3,56.00,73.00,56-73,1,18,2,8,26,-10,24
DET,55,70,71.9,70.3,55.00,70.00,55-70,1,20,14,9,13,-11,-1
DEN,54,70,62.5,58.0,54.00,70.00,54-70,1,21,14,22,28,1,14
SFO,54,69,60.4,81.0,54.00,69.00,54-69,1,21,23,24,2,3,-21
CAR,53,72,67.1,65.4,53.00,72.00,53-72,1,23,6,18,19,-5,13
TEN,53,70,58.0,77.8,53.00,70.00,53-70,1,23,14,28,5,5,-9
JAK,51,69,64.7,60.2,51.20,69.20,51-69,3,25,23,19,25,-6,2
DAL,51,70,59.1,57.2,51.00,70.00,51-70,1,25,14,26,29,1,15
MIA,51,69,63.5,55.9,51.00,69.00,51-69,3,25,23,21,30,-4,7
PIT,51,69,74.3,50.3,50.80,68.80,51-69,3,25,23,4,31,-21,8
CIN,50,71,58.3,65.0,50.00,71.00,50-71,1,29,11,27,21,-2,10
NYJ,50,67,53.4,65.2,50.00,67.00,50-67,1,29,30,31,20,2,-10
LAC,47,67,54.5,46.5,47.00,67.00,47-67,1,31,30,30,32,-1,2
NYG,46,70,50.6,62.5,46.00,70.00,46-70,1,32,14,32,23,0,9